year,partner_code,partner,exports,imports,trade_volume,balance,basis
2014,620,Portugal,853357,31508401,32361758,-30655044,mirror
2014,624,Guiné-Bissau,33804,0,33804,33804,direct
2014,624,Guiné-Bissau,3160,0,3160,3160,mirror
2014,678,São Tomé e Príncipe,148961,0,148961,148961,mirror
2015,24,Angola,556471,0,556471,556471,mirror
2015,76,Brasil,1383,193778,195161,-192395,direct
2015,76,Brasil,5104798,497029,5601827,4607769,mirror
2015,508,Moçambique,0,1486,1486,-1486,direct
2015,508,Moçambique,112541,14310,126851,98231,mirror
2015,620,Portugal,73557,12756429,12829986,-12682872,direct
2015,620,Portugal,597541,29332037,29929578,-28734496,mirror
2016,76,Brasil,0,48613029,48613029,-48613029,direct
2016,76,Brasil,2572909,312829,2885738,2260080,mirror
2016,132,Cabo Verde,402,0,402,402,mirror
2016,508,Moçambique,12084,17456,29540,-5372,mirror
2016,620,Portugal,4271,34860870,34865141,-34856599,direct
2016,620,Portugal,1064015,40861728,41925743,-39797713,mirror
2017,24,Angola,5201,0,5201,5201,direct
2017,24,Angola,92257,9668311,9760568,-9576054,mirror
2017,76,Brasil,0,47458086,47458086,-47458086,direct
2017,76,Brasil,3862114,2265929,6128043,1596185,mirror
2017,132,Cabo Verde,5752,338,6090,5414,mirror
2017,508,Moçambique,47361,0,47361,47361,direct
2017,508,Moçambique,68915,0,68915,68915,mirror
2017,620,Portugal,17212,33382031,33399243,-33364819,direct
2017,620,Portugal,394586,28833054,29227640,-28438468,mirror
2017,626,Timor-Leste,224842,0,224842,224842,mirror
2018,24,Angola,48630,25386186,25434816,-25337556,mirror
2018,76,Brasil,0,56910397,56910397,-56910397,direct
2018,76,Brasil,3250582,71487613,74738195,-68237031,mirror
2018,508,Moçambique,13741,193476,207217,-179735,direct
2018,508,Moçambique,75003,0,75003,75003,mirror
2018,620,Portugal,57659,40904756,40962415,-40847097,direct
2018,620,Portugal,3427552,35523429,38950981,-32095877,mirror
2018,626,Timor-Leste,20173,0,20173,20173,direct
2018,626,Timor-Leste,190998,0,190998,190998,mirror
2019,24,Angola,624704,3326,628030,621378,mirror
2019,76,Brasil,0,69406245,69406245,-69406245,direct
2019,76,Brasil,2894602,46338924,49233526,-43444322,mirror
2019,132,Cabo Verde,110,0,110,110,mirror
2019,508,Moçambique,17861,11486,29347,6375,direct
2019,508,Moçambique,204479,0,204479,204479,mirror
